 message,label
"Your M-PESA has been flagged. Send KES 1 to 0799XXXXXX within 1 hour or your account will be permanently closed.",1
"Karibu! You have WON the weekly lucky draw. Prize: KES 15000. Send KES 200 to release funds to 0733XXXXXX.",1
"Confirmed. KES 350 sent to Naivas Supermarket Till 7891234 on 14/4/26. New M-PESA balance is KES 4500.00.",0
"M-PESA: Fuliza repayment of KES 500 received on 14/4/26. Outstanding balance: KES 0. Limit restored.",0
"You have received KES 10000 from Jane Njeri 0711XXXXXX on 14/4/26. New M-PESA balance is KES 10500.00.",0
"Confirmed. KES 4500 sent to KCB Bank 0100000067890 on 13/4/26. New M-PESA balance is KES 200.00.",0
"M-PESA Global: KES 5000 sent to UK. Ref: MP12345. Exchange rate used: 1 GBP = 165 KES. Balance: KES 2000.",0
"This is Mr.Beast you have won an Iphone 17 pro max send your phone number  to 07XXXXXXX",1
"JUMIA: We are delighted to tell you we are offering deals to our valued custommers to keep you with us send ur mpesa details to 07XXXXXXX to redeem",1
"M-Pesa confirmed. You sent KES 500 to James",0
"Hi uko wapi sai?",0
"Tutapatana kesho saa nne",0
"Nitachelewa kidogo leo",0
"Call me when you get this",0
"Usisahau kuleta kitabu kesho",0
